Hourly measurement data supplied by UK-air on 20/04/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Cambridge Roadside",,,,,
Latitude,,52.202370,,,,,,
Longitude,,0.124456,,,,,,
Site Type,,Urban Traffic,,,,,,
Zone,,Eastern,,,,,,
Agglomeration,,#N/A,,,,,,
Local Authority,,"Cambridge",,,,,,
Date,Time,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status
2019-01-01,01:00:00,17.76948,V ugm-3,31.43637,V ugm-3,58.68252,V ugm-3
2019-01-01,02:00:00,9.00073,V ugm-3,22.14033,V ugm-3,35.94125,V ugm-3
2019-01-01,03:00:00,9.74306,V ugm-3,23.31569,V ugm-3,38.25484,V ugm-3
2019-01-01,04:00:00,18.02465,V ugm-3,32.78478,V ugm-3,60.42219,V ugm-3
2019-01-01,05:00:00,9.18631,V ugm-3,19.59599,V ugm-3,33.68147,V ugm-3
2019-01-01,06:00:00,5.53266,V ugm-3,24.44491,V ugm-3,32.92821,V ugm-3
2019-01-01,07:00:00,6.26339,V ugm-3,25.10002,V ugm-3,34.70375,V ugm-3
2019-01-01,08:00:00,2.92292,V ugm-3,13.16606,V ugm-3,17.6478,V ugm-3
2019-01-01,09:00:00,2.50536,V ugm-3,13.6987,V ugm-3,17.54019,V ugm-3
2019-01-01,10:00:00,1.63544,V ugm-3,12.44995,V ugm-3,14.95759,V ugm-3
2019-01-01,11:00:00,1.84422,V ugm-3,11.53797,V ugm-3,14.36574,V ugm-3
2019-01-01,12:00:00,2.40097,V ugm-3,10.79192,V ugm-3,14.47335,V ugm-3
2019-01-01,13:00:00,4.76714,V ugm-3,14.31981,V ugm-3,21.62932,V ugm-3
2019-01-01,14:00:00,3.0621,V ugm-3,14.67438,V ugm-3,19.36954,V ugm-3
2019-01-01,15:00:00,1.63544,V ugm-3,15.08636,V ugm-3,17.594,V ugm-3
2019-01-01,16:00:00,1.32227,V ugm-3,13.30676,V ugm-3,15.33422,V ugm-3
2019-01-01,17:00:00,1.28748,V ugm-3,14.16718,V ugm-3,16.14128,V ugm-3
2019-01-01,18:00:00,1.32227,V ugm-3,14.81328,V ugm-3,16.84074,V ugm-3
2019-01-01,19:00:00,0.97431,V ugm-3,12.06476,V ugm-3,13.55868,V ugm-3
2019-01-01,20:00:00,1.56585,V ugm-3,11.42676,V ugm-3,13.8277,V ugm-3
2019-01-01,21:00:00,2.0878,V ugm-3,14.01612,V ugm-3,17.21737,V ugm-3
2019-01-01,22:00:00,5.70665,V ugm-3,20.30423,V ugm-3,29.0543,V ugm-3
2019-01-01,23:00:00,1.94861,V ugm-3,14.55236,V ugm-3,17.54019,V ugm-3
2019-01-01,24:00:00,2.15739,V ugm-3,11.64963,V ugm-3,14.95759,V ugm-3
2019-01-02,01:00:00,0.97524,V ugm-3,9.99677,V ugm-3,11.49212,V ugm-3
2019-01-02,02:00:00,0.6966,V ugm-3,10.28036,V ugm-3,11.34846,V ugm-3
2019-01-02,03:00:00,1.07973,V ugm-3,9.49539,V ugm-3,11.15094,V ugm-3
2019-01-02,04:00:00,0.59211,V ugm-3,8.46537,V ugm-3,9.37326,V ugm-3
2019-01-02,05:00:00,1.01007,V ugm-3,9.0635,V ugm-3,10.61225,V ugm-3
2019-01-02,06:00:00,5.12,V ugm-3,13.15847,V ugm-3,21.00902,V ugm-3
2019-01-02,07:00:00,27.58529,V ugm-3,28.48739,V ugm-3,70.78425,V ugm-3
2019-01-02,08:00:00,71.81928,V ugm-3,50.89394,V ugm-3,161.0153,V ugm-3
